question,entities_for_tables,entities_for_columns,query,tables,entities
Find the names of either colleges in LA with greater than 15000 size or in state AZ with less than 13000 enrollment.,['colleges'],"['names', 'LA', 'size', 'AZ', 'enrollment']","SELECT cName FROM College WHERE enr  <  13000 AND state = ""AZ"" UNION SELECT cName FROM College WHERE enr  >  15000 AND state = ""LA""",['College'],"['colleges', 'names', 'LA', 'size', 'AZ', 'enrollment']"
"What are the names of colleges in LA that have more than 15,000 students and of colleges in AZ with less than 13,000 students?",['colleges'],"['names', 'students', 'location']","SELECT cName FROM College WHERE enr  <  13000 AND state = ""AZ"" UNION SELECT cName FROM College WHERE enr  >  15000 AND state = ""LA""",['College'],"['colleges', 'names', 'students', 'location']"
Find the names of schools that have some students playing in goalie and mid positions.,"['schools', 'students']","['names', 'goalie', 'mid', 'positions']",SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid',['tryout'],"['schools', 'students', 'names', 'goalie', 'mid', 'positions']"
What are the names of all schools that have students trying out for the position of goal and 'mid'-field.,"['schools', 'students']","['names', 'position', 'goal', 'mid-field']",SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid',['tryout'],"['schools', 'students', 'names', 'position', 'goal', 'mid-field']"
Find the names of states that have some college students playing in goalie and mid positions.,"['states', 'college students', 'positions']","['names', 'goalie', 'mid']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie' INTERSECT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid',"['tryout', 'college']","['states', 'college students', 'positions', 'names', 'goalie', 'mid']"
What are the names of the states that have some college students playing in the positions of goalie and mid-field?,"['states', 'college students', 'positions']","['names', 'goalie', 'mid-field']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie' INTERSECT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid',"['tryout', 'college']","['states', 'college students', 'positions', 'names', 'goalie', 'mid-field']"
How many schools have some students playing in goalie and mid positions.,"['schools', 'students']","['goalie', 'mid']",SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),['tryout'],"['schools', 'students', 'goalie', 'mid']"
How many schools have students playing in goalie and mid-field positions?,"['schools', 'students']","['goalie', 'mid-field', 'positions']",SELECT COUNT(*) FROM (SELECT cName FROM  tryout WHERE pPos  =  'goalie' INTERSECT SELECT cName FROM  tryout WHERE pPos  =  'mid'),['tryout'],"['schools', 'students', 'goalie', 'mid-field', 'positions']"
Find the names of schools that have some players in the mid position but not in the goalie position.,"['schools', 'players']","['names', 'mid position', 'goalie position']",SELECT cName FROM  tryout WHERE pPos  =  'mid' EXCEPT SELECT cName FROM  tryout WHERE pPos  =  'goalie',['tryout'],"['schools', 'players', 'names', 'mid position', 'goalie position']"
What are the names of the schools with some players in the mid position but no goalies?,"['schools', 'players']","['names', 'position', 'mid', 'goalies']",SELECT cName FROM  tryout WHERE pPos  =  'mid' EXCEPT SELECT cName FROM  tryout WHERE pPos  =  'goalie',['tryout'],"['schools', 'players', 'names', 'position', 'mid', 'goalies']"
Find the names of states that have some college students playing in the mid position but not in the goalie position.,"['states', 'college students']","['names', 'mid position', 'goalie position']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie',"['tryout', 'college']","['states', 'college students', 'names', 'mid position', 'goalie position']"
What are the names of all the states with college students playing in the mid position but no goalies?,"['states', 'college students', 'players']","['names', 'position', 'mid position', 'goalie']",SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie',"['tryout', 'college']","['states', 'college students', 'players', 'names', 'position', 'mid position', 'goalie']"
How many states that have some college students playing in the mid position but not in the goalie position.,"['states', 'college students']","['mid position', 'goalie position']",SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),"['tryout', 'college']","['states', 'college students', 'mid position', 'goalie position']"
What is the count of states with college students playing in the mid position but not as goalies?,"['states', 'college students']","['position', 'mid', 'goalies', 'count']",SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName  =  T2.cName WHERE T2.pPos  =  'goalie'),"['tryout', 'college']","['states', 'college students', 'position', 'mid', 'goalies', 'count']"
Find the states where have the colleges whose enrollments are less than the largest size.,"['states', 'colleges']","['enrollments', 'size']",SELECT DISTINCT state FROM college WHERE enr  <  (SELECT max(enr) FROM college),['college'],"['states', 'colleges', 'enrollments', 'size']"
What are the states with colleges that have enrollments less than the some other college?,"['states', 'colleges']",['enrollments'],SELECT DISTINCT state FROM college WHERE enr  <  (SELECT max(enr) FROM college),['college'],"['states', 'colleges', 'enrollments']"
Find names of colleges with enrollment greater than that of some (at least one) college in the FL state.,['colleges'],"['names', 'enrollment', 'state']",SELECT DISTINCT cName FROM college WHERE enr  >  (SELECT min(enr) FROM college WHERE state  =  'FL'),['college'],"['colleges', 'names', 'enrollment', 'state']"
What are the names of the colleges that are larger than at least one college in Florida?,['colleges'],"['names', 'larger', 'Florida']",SELECT DISTINCT cName FROM college WHERE enr  >  (SELECT min(enr) FROM college WHERE state  =  'FL'),['college'],"['colleges', 'names', 'larger', 'Florida']"
Find names of all colleges whose enrollment is greater than that of all colleges in the FL state.,['colleges'],"['names', 'enrollment', 'state']",SELECT cName FROM college WHERE enr  >  (SELECT max(enr) FROM college WHERE state  =  'FL'),['college'],"['colleges', 'names', 'enrollment', 'state']"
What are the names of all colleges with a larger enrollment than the largest college in Florida?,['colleges'],"['names', 'enrollment', 'Florida']",SELECT cName FROM college WHERE enr  >  (SELECT max(enr) FROM college WHERE state  =  'FL'),['college'],"['colleges', 'names', 'enrollment', 'Florida']"
What is the total number of enrollment of schools that do not have any goalie player?,"['schools', 'player']","['enrollment', 'goalie']","SELECT sum(enr) FROM college WHERE cName NOT IN (SELECT cName FROM tryout WHERE pPos  =  ""goalie"")","['tryout', 'college']","['schools', 'player', 'enrollment', 'goalie']"
What is the total number of students enrolled in schools without any goalies?,"['students', 'schools']","['number', 'enrolled', 'goalies']","SELECT sum(enr) FROM college WHERE cName NOT IN (SELECT cName FROM tryout WHERE pPos  =  ""goalie"")","['tryout', 'college']","['students', 'schools', 'number', 'enrolled', 'goalies']"
What is the number of states that has some college whose enrollment is larger than the average enrollment?,"['states', 'college']","['number', 'enrollment']",SELECT count(DISTINCT state) FROM college WHERE enr  >  (SELECT avg(enr) FROM college),['college'],"['states', 'college', 'number', 'enrollment']"
How many states have a college with more students than average?,"['states', 'college']",['students'],SELECT count(DISTINCT state) FROM college WHERE enr  >  (SELECT avg(enr) FROM college),['college'],"['states', 'college', 'students']"
What is the number of states that has some colleges whose enrollment is smaller than the average enrollment?,"['states', 'colleges']","['number', 'enrollment']",SELECT count(DISTINCT state) FROM college WHERE enr  <  (SELECT avg(enr) FROM college),['college'],"['states', 'colleges', 'number', 'enrollment']"
How many states have smaller colleges than average?,"['states', 'colleges']","['states', 'colleges', 'size']",SELECT count(DISTINCT state) FROM college WHERE enr  <  (SELECT avg(enr) FROM college),['college'],"['states', 'colleges', 'states', 'colleges', 'size']"
How many devices are there?,['devices'],['count'],SELECT count(*) FROM device,['device'],"['devices', 'count']"
Count the number of devices.,['devices'],[],SELECT count(*) FROM device,['device'],['devices']
List the carriers of devices in ascending alphabetical order.,"['devices', 'carriers']",['carrier'],SELECT Carrier FROM device ORDER BY Carrier ASC,['device'],"['devices', 'carriers', 'carrier']"
"What are the different carriers for devices, listed in alphabetical order?","['carriers', 'devices']",['carriers'],SELECT Carrier FROM device ORDER BY Carrier ASC,['device'],"['carriers', 'devices', 'carriers']"
"What are the carriers of devices whose software platforms are not ""Android""?","['devices', 'carriers']","['software platforms', 'Android']",SELECT Carrier FROM device WHERE Software_Platform != 'Android',['device'],"['devices', 'carriers', 'software platforms', 'Android']"
Return the device carriers that do not have Android as their software platform.,"['device', 'carriers']","['software platform', 'Android']",SELECT Carrier FROM device WHERE Software_Platform != 'Android',['device'],"['device', 'carriers', 'software platform', 'Android']"
What are the names of shops in ascending order of open year?,['shops'],"['names', 'open year']",SELECT Shop_Name FROM shop ORDER BY Open_Year ASC,['shop'],"['shops', 'names', 'open year']"
"Return the names of shops, ordered by year of opening ascending.",['shops'],"['names', 'year of opening']",SELECT Shop_Name FROM shop ORDER BY Open_Year ASC,['shop'],"['shops', 'names', 'year of opening']"
What is the average quantity of stocks?,['stocks'],"['quantity', 'average']",SELECT avg(Quantity) FROM stock,['stock'],"['stocks', 'quantity', 'average']"
Give the average quantity of stocks.,['stocks'],"['quantity', 'average']",SELECT avg(Quantity) FROM stock,['stock'],"['stocks', 'quantity', 'average']"
What are the names and location of the shops in ascending alphabetical order of name.,['shops'],"['names', 'location']","SELECT Shop_Name ,  LOCATION FROM shop ORDER BY Shop_Name ASC",['shop'],"['shops', 'names', 'location']"
"Return the names and locations of shops, ordered by name in alphabetical order.",['shops'],"['names', 'locations']","SELECT Shop_Name ,  LOCATION FROM shop ORDER BY Shop_Name ASC",['shop'],"['shops', 'names', 'locations']"
How many different software platforms are there for devices?,"['devices', 'software platforms']",['count'],SELECT count(DISTINCT Software_Platform) FROM device,['device'],"['devices', 'software platforms', 'count']"
Count the number of different software platforms.,['software platforms'],['count'],SELECT count(DISTINCT Software_Platform) FROM device,['device'],"['software platforms', 'count']"
"List the open date of open year of the shop named ""Apple"".",['shop'],"['open date', 'open year', 'name']","SELECT Open_Date ,  Open_Year FROM shop WHERE Shop_Name  =  ""Apple""",['shop'],"['shop', 'open date', 'open year', 'name']"
